Date,Time(s),Power(dB),Temp(K),atennuation(dB)
18:57:59,372.29790782928467,-45.8243,0.09209,3.0
18:58:00,373.35572028160095,-45.8247,0.09209,3.0
18:58:01,374.39369893074036,-45.8243,0.09209,3.0
18:58:02,375.4388494491577,-45.824,0.09209,3.0
18:58:03,376.5065264701843,-45.8246,0.09209,3.0
18:58:04,377.55502581596375,-45.8246,0.09209,3.0
18:58:05,378.6056351661682,-45.825,0.09209,3.0
18:58:06,379.650249004364,-45.8248,0.09209,3.0
18:58:07,380.70297837257385,-45.8249,0.09209,3.0
18:58:08,381.74756622314453,-45.8246,0.09209,3.0
18:58:09,382.7696716785431,-45.8246,0.09209,3.0
18:58:10,383.81363463401794,-45.8247,0.09209,3.0
18:58:11,385.0127353668213,-45.825,0.09209,3.0
18:58:12,386.05711913108826,-45.825,0.09209,3.0
18:58:13,387.0934154987335,-45.8246,0.09209,3.0
18:58:15,388.13558292388916,-45.8248,0.09209,3.0
18:58:16,389.16619777679443,-45.8246,0.09209,3.0
18:58:17,390.2059988975525,-45.825,0.09209,3.0
18:58:18,391.2435326576233,-45.8253,0.09209,3.0
18:58:19,392.2919476032257,-45.825,0.09209,3.0
18:58:20,393.33597445487976,-45.8248,0.09209,3.0
18:58:21,394.3579761981964,-45.8249,0.09209,3.0
18:58:22,395.40591955184937,-45.8249,0.09209,3.0
18:58:23,396.44627928733826,-45.8244,0.092539,3.0
18:58:24,397.4861602783203,-45.8246,0.092539,3.0
18:58:25,398.50998091697693,-45.8246,0.092539,3.0
18:58:26,399.5504791736603,-45.8247,0.092539,3.0
18:58:27,400.601989030838,-45.8246,0.092539,3.0
18:58:28,401.6484634876251,-45.8242,0.092539,3.0
18:58:29,402.6975061893463,-45.8245,0.092539,3.0
18:58:30,403.7397005558014,-45.8243,0.092539,3.0
18:58:31,404.7740333080292,-45.8252,0.092539,3.0
18:58:32,405.81807923316956,-45.8252,0.092539,3.0
18:58:33,406.8546733856201,-45.8252,0.092539,3.0
18:58:34,407.90184712409973,-45.8251,0.092539,3.0
18:58:35,408.9433808326721,-45.8244,0.092539,3.0
18:58:36,409.9766435623169,-45.8254,0.092539,3.0
18:58:37,411.00130248069763,-45.8237,0.092539,3.0
18:58:38,412.0300507545471,-45.8245,0.092539,3.0
18:58:39,413.07444310188293,-45.825,0.092539,3.0
18:58:40,414.11140632629395,-45.8244,0.092539,3.0
18:58:42,415.14889192581177,-45.8248,0.092539,3.0
18:58:43,416.1764008998871,-45.8248,0.092539,3.0
18:58:44,417.22028732299805,-45.8247,0.092539,3.0
18:58:45,418.28062105178833,-45.8249,0.092539,3.0
18:58:46,419.33699202537537,-45.825,0.092539,3.0
18:58:47,420.36825370788574,-45.8246,0.092539,3.0
18:58:48,421.40482687950134,-45.8247,0.092539,3.0
18:58:49,422.4593060016632,-45.8246,0.092539,3.0
18:58:50,423.5200135707855,-45.8247,0.092539,3.0
18:58:51,424.57311725616455,-45.8246,0.092539,3.0
18:58:52,425.6202208995819,-45.8248,0.092539,3.0
18:58:53,426.6755883693695,-45.8252,0.092539,3.0
18:58:54,427.7234389781952,-45.8249,0.092539,3.0
18:58:55,428.75746297836304,-45.8247,0.092539,3.0
18:58:56,429.78071188926697,-45.8251,0.092539,3.0
18:58:57,430.82718801498413,-45.8252,0.092539,3.0
18:58:58,431.8739230632782,-45.8246,0.092539,3.0
18:58:59,432.8951733112335,-45.8255,0.092539,3.0
18:59:00,433.92702436447144,-45.8254,0.092539,3.0
18:59:01,434.96121168136597,-45.8253,0.092539,3.0
18:59:02,436.0049641132355,-45.8249,0.092539,3.0
18:59:03,437.05021357536316,-45.8252,0.092539,3.0
18:59:04,438.09369921684265,-45.8249,0.092539,3.0
18:59:06,439.1358428001404,-45.8253,0.092539,3.0
18:59:07,440.17640376091003,-45.8252,0.092539,3.0
18:59:08,441.22254514694214,-45.8245,0.092539,3.0
18:59:09,442.2679250240326,-45.8245,0.092539,3.0
18:59:10,443.31226658821106,-45.8248,0.092539,3.0
18:59:11,444.33810234069824,-45.8247,0.092712,3.0
18:59:12,445.37466835975647,-45.8252,0.092712,3.0
18:59:13,446.4131667613983,-45.8252,0.092712,3.0
18:59:14,447.4577178955078,-45.8254,0.092712,3.0
18:59:15,448.4970157146454,-45.825,0.092712,3.0
18:59:16,449.54598212242126,-45.8247,0.092712,3.0
18:59:17,450.5980565547943,-45.8246,0.092712,3.0
18:59:18,451.6414039134979,-45.8251,0.092712,3.0
18:59:19,452.6920235157013,-45.8253,0.092712,3.0
18:59:20,453.73677015304565,-45.825,0.092712,3.0
18:59:21,454.7787628173828,-45.8252,0.092712,3.0
18:59:22,455.8280634880066,-45.8252,0.092712,3.0
18:59:23,456.8515884876251,-45.8245,0.092712,3.0
18:59:24,457.8970696926117,-45.8256,0.092712,3.0
18:59:25,458.93638586997986,-45.8257,0.092712,3.0
18:59:26,459.98190665245056,-45.8247,0.092712,3.0
18:59:27,461.0071687698364,-45.8251,0.092712,3.0
18:59:28,462.0432171821594,-45.8251,0.092712,3.0
18:59:29,463.0830183029175,-45.8252,0.092712,3.0
18:59:30,464.1248972415924,-45.8251,0.092712,3.0
18:59:32,465.16784715652466,-45.8246,0.092712,3.0
18:59:33,466.21233439445496,-45.8251,0.092712,3.0
18:59:34,467.23377776145935,-45.8251,0.092712,3.0
18:59:35,468.27094078063965,-45.8253,0.092712,3.0
18:59:36,469.3312678337097,-45.8254,0.092712,3.0
18:59:37,470.37375497817993,-45.8253,0.092712,3.0
18:59:38,471.4216215610504,-45.8262,0.092712,3.0
18:59:39,472.4552779197693,-45.8257,0.092712,3.0
18:59:40,473.49549436569214,-45.8261,0.092712,3.0
18:59:41,474.54795598983765,-45.8254,0.092712,3.0
18:59:42,475.59399914741516,-45.8257,0.092712,3.0
18:59:43,476.64563369750977,-45.8254,0.092712,3.0
18:59:44,477.69137358665466,-45.8262,0.092712,3.0
18:59:45,478.72833228111267,-45.826,0.092712,3.0
18:59:46,479.77238297462463,-45.8259,0.092712,3.0
18:59:47,480.8096559047699,-45.8261,0.092712,3.0
18:59:48,481.8588557243347,-45.8261,0.092712,3.0
18:59:49,482.8858895301819,-45.826,0.092712,3.0
18:59:50,483.93023347854614,-45.826,0.092712,3.0
18:59:51,484.98209738731384,-45.8258,0.092712,3.0
18:59:52,486.0280566215515,-45.8262,0.092712,3.0
18:59:53,487.06713700294495,-45.8259,0.092712,3.0
18:59:54,488.10624623298645,-45.8254,0.092712,3.0
18:59:56,489.14836978912354,-45.8259,0.092712,3.0
18:59:57,490.19466280937195,-45.826,0.092712,3.0
18:59:58,491.2402970790863,-45.8262,0.092712,3.0
18:59:59,492.2799632549286,-45.8255,0.093117,3.0
19:00:00,493.3138236999512,-45.8262,0.093117,3.0
19:00:01,494.3504946231842,-45.8259,0.093117,3.0
19:00:02,495.3873596191406,-45.8263,0.093117,3.0
19:00:03,496.4229829311371,-45.8268,0.093117,3.0
19:00:04,497.4658842086792,-45.8254,0.093117,3.0
19:00:05,498.49378395080566,-45.8262,0.093117,3.0
19:00:06,499.53600454330444,-45.8262,0.093117,3.0
19:00:07,500.5747697353363,-45.826,0.093117,3.0
19:00:08,501.6053855419159,-45.8266,0.093117,3.0
19:00:09,502.6556236743927,-45.8263,0.093117,3.0
19:00:10,503.6916136741638,-45.8259,0.093117,3.0
19:00:11,504.7355661392212,-45.8261,0.093117,3.0
19:00:12,505.78071308135986,-45.8261,0.093117,3.0
19:00:13,506.82071709632874,-45.8264,0.093117,3.0
19:00:14,507.8548982143402,-45.8266,0.093117,3.0
19:00:15,508.8905930519104,-45.8268,0.093117,3.0
19:00:16,509.9208812713623,-45.8266,0.093117,3.0
19:00:17,510.9677996635437,-45.8259,0.093117,3.0
